city,state,country,address,phone number,email,full-time courses,part-time courses
Atlanta,Georgia,USA,"675 Ponce De Leon Avenue NE, 2nd FloorAtlanta, GA 30308",+1 (404) 334-7858,atlanta@generalassemb.ly,"['Software Engineering Immersive', 'Data Science Immersive', 'User Experience Design Immersive']","['Product Management', 'Front-End Web Development', 'JavaScript Development', 'Python Programming', 'React Development', 'Data Analytics', 'Data Science', 'User Experience Design', 'Visual Design', 'Digital Marketing']"
Austin,Texas,USA,"600 Congress Avenue, 14th FloorAustin, TX 78701",+1 (512) 823-0359,austin@generalassemb.ly,"['Software Engineering Immersive', 'Data Science Immersive', 'User Experience Design Immersive']","['Product Management', 'Front-End Web Development', 'JavaScript Development', 'Python Programming', 'React Development', 'Data Analytics', 'Data Science', 'User Experience Design', 'Visual Design', 'Digital Marketing']"
Boston,Massachusetts,USA,"125 Summer Street


13th FloorBoston, MA 02110",+1 (617) 207-6245,boston@generalassemb.ly,"['Software Engineering Immersive', 'Data Science Immersive', 'User Experience Design Immersive']","['Product Management', 'Front-End Web Development', 'JavaScript Development', 'Python Programming', 'React Development', 'Data Analytics', 'Data Science', 'User Experience Design', 'Visual Design', 'Digital Marketing']"
Denver,Colorado,USA,"3858 Walnut StDenver, CO 80205",+1 (303) 963-9936,denver@generalassemb.ly,"['Software Engineering Immersive', 'Data Science Immersive', 'User Experience Design Immersive']","['Product Management', 'Front-End Web Development', 'JavaScript Development', 'Python Programming', 'React Development', 'Data Analytics', 'Data Science', 'User Experience Design', 'Visual Design', 'Digital Marketing']"
Detroit,Michigan,USA,N/A,+1 (917) 722-0237,detroit@generalassemb.ly,"['Software Engineering Immersive', 'Data Science Immersive', 'User Experience Design Immersive']","['Product Management', 'Front-End Web Development', 'JavaScript Development', 'Python Programming', 'React Development', 'Data Analytics', 'Data Science', 'User Experience Design', 'Visual Design', 'Digital Marketing']"
Houston,Texas,USA,N/A,N/A,houston@generalassemb.ly,"['Software Engineering Immersive', 'Data Science Immersive', 'User Experience Design Immersive']","['Product Management', 'Front-End Web Development', 'JavaScript Development', 'Python Programming', 'React Development', 'Data Analytics', 'Data Science', 'User Experience Design', 'Visual Design', 'Digital Marketing']"
Los Angeles,California,USA,"360 E. 2nd Street, Suite 400Los Angeles, CA 90012",+1 (213) 263-4147,la@generalassemb.ly,"['Software Engineering Immersive', 'Data Science Immersive', 'User Experience Design Immersive']","['Product Management', 'Front-End Web Development', 'JavaScript Development', 'Python Programming', 'React Development', 'Data Analytics', 'Data Science', 'User Experience Design', 'Visual Design', 'Digital Marketing']"
Louisville,Kentucky,USA,N/A,+1 (917) 722-0237,louisville@generalassemb.ly,"['Software Engineering Immersive', 'Data Science Immersive', 'User Experience Design Immersive']","['Product Management', 'Front-End Web Development', 'JavaScript Development', 'Python Programming', 'React Development', 'Data Analytics', 'Data Science', 'User Experience Design', 'Visual Design', 'Digital Marketing']"
Miami,Florida,USA,N/A,+1 (917) 722-0237,miami@generalassemb.ly,"['Software Engineering Immersive', 'Data Science Immersive', 'User Experience Design Immersive']","['Product Management', 'Front-End Web Development', 'JavaScript Development', 'Python Programming', 'React Development', 'Data Analytics', 'Data Science', 'User Experience Design', 'Visual Design', 'Digital Marketing']"
Minneapolis,Minnesota,USA,N/A,+1 (917) 722-0237,minneapolis@generalassemb.ly,"['Software Engineering Immersive', 'Data Science Immersive', 'User Experience Design Immersive']","['Product Management', 'Front-End Web Development', 'JavaScript Development', 'Python Programming', 'React Development', 'Data Analytics', 'Data Science', 'User Experience Design', 'Visual Design', 'Digital Marketing']"
Nashville,Tennessee,USA,N/A,+1 (917) 722-0237,nashville@generalassemb.ly,"['Software Engineering Immersive', 'Data Science Immersive', 'User Experience Design Immersive']","['Product Management', 'Front-End Web Development', 'JavaScript Development', 'Python Programming', 'React Development', 'Data Analytics', 'Data Science', 'User Experience Design', 'Visual Design', 'Digital Marketing']"
New York City,New York,USA,"10 East 21st StreetNew York, NY 10010",+1 (917) 722-0237,newyork@generalassemb.ly,"['Software Engineering Immersive', 'Data Science Immersive', 'User Experience Design Immersive']","['Product Management', 'Front-End Web Development', 'JavaScript Development', 'Python Programming', 'React Development', 'Data Analytics', 'Data Science', 'User Experience Design', 'Visual Design', 'Digital Marketing']"
Orlando,Florida,USA,N/A,N/A,orlando@generalassemb.ly,"['Software Engineering Immersive', 'Data Science Immersive', 'User Experience Design Immersive']","['Product Management', 'Front-End Web Development', 'JavaScript Development', 'Python Programming', 'React Development', 'Data Analytics', 'Data Science', 'User Experience Design', 'Visual Design', 'Digital Marketing']"
Phoenix,Arizona,USA,N/A,N/A,phoenix@generalassemb.ly,"['Software Engineering Immersive', 'Data Science Immersive', 'User Experience Design Immersive']","['Product Management', 'Front-End Web Development', 'JavaScript Development', 'Python Programming', 'React Development', 'Data Analytics', 'Data Science', 'User Experience Design', 'Visual Design', 'Digital Marketing']"
Raleigh,North Carolina,USA,N/A,+1 (917) 722-0237,raleigh@generalassemb.ly,"['Software Engineering Immersive', 'Data Science Immersive', 'User Experience Design Immersive']","['Product Management', 'Front-End Web Development', 'JavaScript Development', 'Python Programming', 'React Development', 'Data Analytics', 'Data Science', 'User Experience Design', 'Visual Design', 'Digital Marketing']"
Salt Lake City,Utah,USA,N/A,+1 (202) 525-8500,slc@generalassemb.ly,"['Software Engineering Immersive', 'Data Science Immersive', 'User Experience Design Immersive']","['Product Management', 'Front-End Web Development', 'JavaScript Development', 'Python Programming', 'React Development', 'Data Analytics', 'Data Science', 'User Experience Design', 'Visual Design', 'Digital Marketing']"
San Diego,California,USA,N/A,+1 (213) 263-4147,sandiego@generalassemb.ly,"['Software Engineering Immersive', 'Data Science Immersive', 'User Experience Design Immersive']","['Product Management', 'Front-End Web Development', 'JavaScript Development', 'Python Programming', 'React Development', 'Data Analytics', 'Data Science', 'User Experience Design', 'Visual Design', 'Digital Marketing']"
