city,state,country,address,phone number,email,full-time courses,part-time courses,url
Atlanta,Georgia,USA,"675 Ponce De Leon Avenue NE, 2nd FloorAtlanta, GA 30308",+1 (404) 334-7858,atlanta@generalassemb.ly,"Software Engineering Immersive, Data Science Immersive, User Experience Design Immersive","Product Management, Front End Web Development, JavaScript Development, Python Programming, React Development, Data Analytics, Data Science, User Experience Design, Visual Design, Digital Marketing",https://generalassemb.ly/locations/atlanta
Austin,Texas,USA,"600 Congress Avenue, 14th FloorAustin, TX 78701",+1 (512) 823-0359,austin@generalassemb.ly,"Software Engineering Immersive, Data Science Immersive, User Experience Design Immersive","Product Management, Front End Web Development, JavaScript Development, Python Programming, React Development, Data Analytics, Data Science, User Experience Design, Visual Design, Digital Marketing",https://generalassemb.ly/locations/austin
Boston,Massachusetts,USA,"125 Summer Street


13th FloorBoston, MA 02110",+1 (617) 207-6245,boston@generalassemb.ly,"Software Engineering Immersive, Data Science Immersive, User Experience Design Immersive","Product Management, Front End Web Development, JavaScript Development, Python Programming, React Development, Data Analytics, Data Science, User Experience Design, Visual Design, Digital Marketing",https://generalassemb.ly/locations/boston
Denver,Colorado,USA,"3858 Walnut StDenver, CO 80205",+1 (303) 963-9936,denver@generalassemb.ly,"Software Engineering Immersive, Data Science Immersive, User Experience Design Immersive","Product Management, Front End Web Development, JavaScript Development, Python Programming, React Development, Data Analytics, Data Science, User Experience Design, Visual Design, Digital Marketing",https://generalassemb.ly/locations/denver
Detroit,Michigan,USA,,+1 (917) 722-0237,detroit@generalassemb.ly,"Software Engineering Immersive, Data Science Immersive, User Experience Design Immersive","Product Management, Front End Web Development, JavaScript Development, Python Programming, React Development, Data Analytics, Data Science, User Experience Design, Visual Design, Digital Marketing",https://generalassemb.ly/locations/detroit
Houston,Texas,USA,,,houston@generalassemb.ly,"Software Engineering Immersive, Data Science Immersive, User Experience Design Immersive","Product Management, Front End Web Development, JavaScript Development, Python Programming, React Development, Data Analytics, Data Science, User Experience Design, Visual Design, Digital Marketing",https://generalassemb.ly/locations/houston
Los Angeles,California,USA,"360 E. 2nd Street, Suite 400Los Angeles, CA 90012",+1 (213) 263-4147,la@generalassemb.ly,"Software Engineering Immersive, Data Science Immersive, User Experience Design Immersive","Product Management, Front End Web Development, JavaScript Development, Python Programming, React Development, Data Analytics, Data Science, User Experience Design, Visual Design, Digital Marketing",https://generalassemb.ly/locations/los-angeles
Louisville,Kentucky,USA,,+1 (917) 722-0237,louisville@generalassemb.ly,"Software Engineering Immersive, Data Science Immersive, User Experience Design Immersive","Product Management, Front End Web Development, JavaScript Development, Python Programming, React Development, Data Analytics, Data Science, User Experience Design, Visual Design, Digital Marketing",https://generalassemb.ly/locations/louisville
Miami,Florida,USA,,+1 (917) 722-0237,miami@generalassemb.ly,"Software Engineering Immersive, Data Science Immersive, User Experience Design Immersive","Product Management, Front End Web Development, JavaScript Development, Python Programming, React Development, Data Analytics, Data Science, User Experience Design, Visual Design, Digital Marketing",https://generalassemb.ly/locations/miami
Minneapolis,Minnesota,USA,,+1 (917) 722-0237,minneapolis@generalassemb.ly,"Software Engineering Immersive, Data Science Immersive, User Experience Design Immersive","Product Management, Front End Web Development, JavaScript Development, Python Programming, React Development, Data Analytics, Data Science, User Experience Design, Visual Design, Digital Marketing",https://generalassemb.ly/locations/minneapolis
Nashville,Tennessee,USA,,+1 (917) 722-0237,nashville@generalassemb.ly,"Software Engineering Immersive, Data Science Immersive, User Experience Design Immersive","Product Management, Front End Web Development, JavaScript Development, Python Programming, React Development, Data Analytics, Data Science, User Experience Design, Visual Design, Digital Marketing",https://generalassemb.ly/locations/nashville
